año,ccz,est,se,cv,quintil
2009,CCZ01,"16,9066419","1,677906539","9,9",Q1
2009,CCZ01,"16,31444496","1,424192244","8,7",Q2
2009,CCZ01,"22,2248026","1,5102631","6,8",Q3
2009,CCZ01,"25,23223409","1,686147667","6,7",Q4
2009,CCZ01,"19,32187645","1,669451735","8,6",Q5
2010,CCZ01,"13,37272675","1,483500598","11,1",Q1
2010,CCZ01,"21,05444323","1,758314834","8,4",Q2
2010,CCZ01,"20,704492","1,652157515",8,Q3
2010,CCZ01,"22,73535655","1,657148314","7,3",Q4
2010,CCZ01,"22,13298147","1,786011251","8,1",Q5
2011,CCZ01,"13,91410444","1,56846891","11,3",Q1
2011,CCZ01,"20,01464129","1,498760544","7,5",Q2
2011,CCZ01,"21,18106393","1,53888771","7,3",Q3
2011,CCZ01,"23,38701806","1,836172576","7,9",Q4
2011,CCZ01,"21,50317228","2,127561678","9,9",Q5
2012,CCZ01,"15,11182991","1,343338699","8,9",Q1
2012,CCZ01,"20,25955584","1,290784054","6,4",Q2
2012,CCZ01,"21,30487949","1,372145793","6,4",Q3
2012,CCZ01,"22,20030768","1,408111704","6,3",Q4
2012,CCZ01,"21,12342708","1,670777434","7,9",Q5
2013,CCZ01,"11,32120206","1,364395826","12,1",Q1
2013,CCZ01,"16,14604943","1,562742813","9,7",Q2
2013,CCZ01,"20,85235019","1,624157853","7,8",Q3
2013,CCZ01,"28,39191512","1,84131019","6,5",Q4
2013,CCZ01,"23,2884832","2,266928559","9,7",Q5
2014,CCZ01,"15,86848095","1,551966433","9,8",Q1
2014,CCZ01,"16,71105515","1,483419213","8,9",Q2
2014,CCZ01,"20,19756912","1,394224946","6,9",Q3
2014,CCZ01,"25,23364486","1,55772678","6,2",Q4
2014,CCZ01,"21,98924992","2,102164264","9,6",Q5
2015,CCZ01,"10,58096981","1,208793749","11,4",Q1
2015,CCZ01,"18,66880146","1,4217949","7,6",Q2
2015,CCZ01,"21,59194876","1,400290994","6,5",Q3
2015,CCZ01,"24,06678866","1,43536584",6,Q4
2015,CCZ01,"25,09149131","1,918000611","7,6",Q5
2016,CCZ01,"18,03099859","1,97262424","10,9",Q1
2016,CCZ01,"17,43557111","1,766660528","10,1",Q2
2016,CCZ01,"21,20358166","1,615112429","7,6",Q3
2016,CCZ01,"22,65351575","1,940469522","8,6",Q4
2016,CCZ01,"20,67633289","2,617207347","12,7",Q5
2017,CCZ01,"17,46414574","1,70861307","9,8",Q1
2017,CCZ01,"20,48322495","1,349237135","6,6",Q2
2017,CCZ01,"21,24553168","1,417068994","6,7",Q3
2017,CCZ01,"20,18605452","1,589949401","7,9",Q4
2017,CCZ01,"20,62104311","1,724151107","8,4",Q5
2018,CCZ01,"14,90997112","1,467915017","9,8",Q1
2018,CCZ01,"20,23951079","1,508139389","7,5",Q2
2018,CCZ01,"23,26312213","1,699843013","7,3",Q3
2018,CCZ01,"21,16103278","1,591203514","7,5",Q4
2018,CCZ01,"20,42636317","2,021435324","9,9",Q5
2019,CCZ01,"15,10546421","1,536870772","10,2",Q1
2019,CCZ01,"17,73791729","1,635213115","9,2",Q2
2019,CCZ01,"22,01461551","1,546403901",7,Q3
2019,CCZ01,"23,08586614","1,528483371","6,6",Q4
2019,CCZ01,"22,05613685","2,063964801","9,4",Q5
2022,CCZ01,"11,26916868","2,041477122","18,1",Q1
2022,CCZ01,"15,94027441","1,958331695","12,3",Q2
2022,CCZ01,"16,95419693","2,043641956","12,1",Q3
2022,CCZ01,"29,29782082","2,234624345","7,6",Q4
2022,CCZ01,"26,53853914","3,028786926","11,4",Q5
2009,CCZ02,"11,6925029","0,8701949177","7,4",Q1
2009,CCZ02,"17,17603575","1,050985158","6,1",Q2
2009,CCZ02,"20,08605947","1,023584476","5,1",Q3
2009,CCZ02,"23,07331605","1,143401886",5,Q4
2009,CCZ02,"27,97208584","1,32488646","4,7",Q5
2010,CCZ02,"10,80240466","0,9074065201","8,4",Q1
2010,CCZ02,"16,6260474","1,064470241","6,4",Q2
2010,CCZ02,"21,70461667","1,049483608","4,8",Q3
2010,CCZ02,"24,67330502","1,278914697","5,2",Q4
2010,CCZ02,"26,19362626","1,42076639","5,4",Q5
2011,CCZ02,"10,45865184","0,8810809898","8,4",Q1
2011,CCZ02,"17,23612076","1,100027316","6,4",Q2
2011,CCZ02,"21,97127635","1,122748808","5,1",Q3
2011,CCZ02,"24,62551154","1,162316066","4,7",Q4
2011,CCZ02,"25,7084395","1,381843283","5,4",Q5
2012,CCZ02,"11,99271045","1,02625611","8,6",Q1
2012,CCZ02,"17,70052102","1,146738955","6,5",Q2
2012,CCZ02,"20,73082405","1,119405239","5,4",Q3
2012,CCZ02,"23,81486414","1,180041146",5,Q4
2012,CCZ02,"25,76108035","1,44734352","5,6",Q5
2013,CCZ02,"11,5869929","0,8101906182",7,Q1
2013,CCZ02,"17,40988648","0,9589039551","5,5",Q2
2013,CCZ02,"21,77423002","1,008343704","4,6",Q3
2013,CCZ02,"23,89760753","1,057255451","4,4",Q4
2013,CCZ02,"25,33128307","1,296266732","5,1",Q5
2014,CCZ02,"13,29448697","0,9620070882","7,2",Q1
2014,CCZ02,"17,8807947","1,049476625","5,9",Q2
2014,CCZ02,"21,10819644","1,134722294","5,4",Q3
2014,CCZ02,"22,94013933","1,081606587","4,7",Q4
2014,CCZ02,"24,77638256","1,246838081",5,Q5
2015,CCZ02,"13,60589963","1,039144979","7,6",Q1
2015,CCZ02,"19,09757246","0,9972914494","5,2",Q2
2015,CCZ02,"20,28780849","1,057981677","5,2",Q3
2015,CCZ02,"24,5556228","1,115114591","4,5",Q4
2015,CCZ02,"22,45309663","1,28788446","5,7",Q5
2016,CCZ02,"13,65243548","1,409704235","10,3",Q1
2016,CCZ02,"19,16723838","1,094408961","5,7",Q2
2016,CCZ02,"21,46551269","1,153025955","5,4",Q3
2016,CCZ02,"23,13314687","1,246507375","5,4",Q4
2016,CCZ02,"22,58166658","1,59563854","7,1",Q5
2017,CCZ02,"14,37820749","1,064410336","7,4",Q1
2017,CCZ02,"20,37417986","1,117288512","5,5",Q2
2017,CCZ02,"20,79426604","1,078942024","5,2",Q3
2017,CCZ02,"23,25198675","1,151571668",5,Q4
2017,CCZ02,"21,20135987","1,405040841","6,6",Q5
2018,CCZ02,"14,85331814","1,121801139","7,6",Q1
2018,CCZ02,"17,80594323","1,121851332","6,3",Q2
2018,CCZ02,"19,81391816","1,181782953",6,Q3
2018,CCZ02,"22,63362765","1,275903349","5,6",Q4
2018,CCZ02,"24,89319282","1,578732336","6,3",Q5
2019,CCZ02,"13,39671975","1,009475906","7,5",Q1
2019,CCZ02,"18,72830996","1,211583632","6,5",Q2
2019,CCZ02,"21,3857856","1,129933076","5,3",Q3
2019,CCZ02,"21,79700499","1,189528712","5,5",Q4
2019,CCZ02,"24,6921797","1,415277215","5,7",Q5
2022,CCZ02,"17,2340204","1,827435071","10,6",Q1
2022,CCZ02,"17,43701853","1,681554885","9,6",Q2
2022,CCZ02,"21,6817614","1,690365442","7,8",Q3
2022,CCZ02,"21,45273787","1,757937196","8,2",Q4
2022,CCZ02,"22,19446179","2,394176216","10,8",Q5
2009,CCZ03,"13,26663644","1,065973528",8,Q1
2009,CCZ03,"20,57306428","1,153625227","5,6",Q2
2009,CCZ03,"25,1672146","1,229714522","4,9",Q3
2009,CCZ03,"22,21970298","1,211534903","5,5",Q4
2009,CCZ03,"18,7733817","1,108935252","5,9",Q5
2010,CCZ03,"14,10874911","1,190381038","8,4",Q1
2010,CCZ03,"19,70182701","1,271808585","6,5",Q2
2010,CCZ03,"21,49459989","1,171783384","5,5",Q3
2010,CCZ03,"23,60173052","1,37889765","5,8",Q4
2010,CCZ03,"21,09309347","1,449759016","6,9",Q5
2011,CCZ03,"13,09178234","0,9459025545","7,2",Q1
2011,CCZ03,"19,74455059","1,203784932","6,1",Q2
2011,CCZ03,"20,34622895","1,070018194","5,3",Q3
2011,CCZ03,"26,61898981","1,173549478","4,4",Q4
2011,CCZ03,"20,1984483","1,303169094","6,5",Q5
2012,CCZ03,"16,10507246","1,180106025","7,3",Q1
2012,CCZ03,"20,79710145","1,240265529",6,Q2
2012,CCZ03,"21,86896135","1,188169146","5,4",Q3
2012,CCZ03,"22,59359903","1,184623699","5,2",Q4
2012,CCZ03,"18,6352657","1,445107249","7,8",Q5
2013,CCZ03,"14,13954598","1,011982479","7,2",Q1
2013,CCZ03,"17,7549742","1,12602628","6,3",Q2
2013,CCZ03,"22,20564985","1,327535515",6,Q3
2013,CCZ03,"24,45186887","1,219100955",5,Q4
2013,CCZ03,"21,4479611","1,310570415","6,1",Q5
2014,CCZ03,"15,04986142","1,223316172","8,1",Q1
2014,CCZ03,"21,92187902","1,201717969","5,5",Q2
2014,CCZ03,"20,73034832","1,19833148","5,8",Q3
2014,CCZ03,"23,60488042","1,297036105","5,5",Q4
2014,CCZ03,"18,69303083","1,300961029",7,Q5
2015,CCZ03,"15,56872447","1,165428676","7,5",Q1
2015,CCZ03,"20,60008055","1,223000456","5,9",Q2
2015,CCZ03,"21,39980438","1,236625933","5,8",Q3
2015,CCZ03,"23,26966227","1,279686671","5,5",Q4
2015,CCZ03,"19,16172832","1,299847181","6,8",Q5
2016,CCZ03,"15,90667503","1,446130064","9,1",Q1
2016,CCZ03,"18,55597045","1,346461566","7,3",Q2
2016,CCZ03,"21,70132737","1,303677781",6,Q3
2016,CCZ03,"25,00749543","1,481768634","5,9",Q4
2016,CCZ03,"18,82853171","1,291838166","6,9",Q5
2017,CCZ03,"14,55238095","1,191459897","8,2",Q1
2017,CCZ03,"19,96190476","1,269249226","6,4",Q2
2017,CCZ03,"21,57655678","1,237994651","5,7",Q3
2017,CCZ03,"24,52454212","1,342176259","5,5",Q4
2017,CCZ03,"19,38461538","1,472971318","7,6",Q5
2018,CCZ03,"16,27663852","1,210573925","7,4",Q1
2018,CCZ03,"19,08591342","1,154621901",6,Q2
2018,CCZ03,"20,7854175","1,17321343","5,6",Q3
2018,CCZ03,"24,74199169","1,343131642","5,4",Q4
2018,CCZ03,"19,11003887","1,33924067",7,Q5
2019,CCZ03,"14,09322758","1,259328248","8,9",Q1
2019,CCZ03,"18,50694342","1,264519805","6,8",Q2
2019,CCZ03,"21,35802105","1,198346958","5,6",Q3
2019,CCZ03,"25,89556859","1,509978451","5,8",Q4
2019,CCZ03,"20,14623935","1,479714441","7,3",Q5
2022,CCZ03,"14,18143208","1,38948121","9,8",Q1
2022,CCZ03,"20,9547194","1,721348406","8,2",Q2
2022,CCZ03,"20,50788595","1,558070702","7,6",Q3
2022,CCZ03,"22,35052094","1,708887616","7,6",Q4
2022,CCZ03,"22,00544164","1,936797863","8,8",Q5
2009,CCZ04,"8,563951587","1,093091662","12,8",Q1
2009,CCZ04,"13,44455348","1,395790066","10,4",Q2
2009,CCZ04,"21,22342166","1,639149981","7,7",Q3
2009,CCZ04,"27,49100425","1,971858591","7,2",Q4
2009,CCZ04,"29,27706902","1,83945276","6,3",Q5
2010,CCZ04,"8,895594448","1,340499878","15,1",Q1
2010,CCZ04,"14,9969825","1,555918874","10,4",Q2
2010,CCZ04,"22,55884128","2,159129743","9,6",Q3
2010,CCZ04,"26,22812311","2,012657529","7,7",Q4
2010,CCZ04,"27,32045866","2,280438241","8,3",Q5
2011,CCZ04,"9,013272411","1,351304841",15,Q1
2011,CCZ04,"15,8181027","1,737773204",11,Q2
2011,CCZ04,"20,88228895","1,741599345","8,3",Q3
2011,CCZ04,"22,75348129","1,929591982","8,5",Q4
2011,CCZ04,"31,53285466","2,414515756","7,7",Q5
2012,CCZ04,"9,033744241","1,253006142","13,9",Q1
2012,CCZ04,"15,45262109","1,638290976","10,6",Q2
2012,CCZ04,"17,98032624","1,620748636",9,Q3
2012,CCZ04,"23,31590088","1,873637379",8,Q4
2012,CCZ04,"34,21740755","2,477478109","7,2",Q5
2013,CCZ04,"9,667475569","1,26206312","13,1",Q1
2013,CCZ04,"15,41286811","1,434228982","9,3",Q2
2013,CCZ04,"17,76742966","1,749189894","9,8",Q3
2013,CCZ04,"27,95959861","1,917452023","6,9",Q4
2013,CCZ04,"29,19262806","2,233718889","7,7",Q5
2014,CCZ04,"11,3568017","1,35655737","11,9",Q1
2014,CCZ04,"16,10944042","1,384225765","8,6",Q2
2014,CCZ04,"20,30780117","1,818834953",9,Q3
2014,CCZ04,"22,34211923","1,762884005","7,9",Q4
2014,CCZ04,"29,88383749","2,28582068","7,6",Q5
2015,CCZ04,"13,20052253","1,459080803","11,1",Q1
2015,CCZ04,"17,0019595","1,584694762","9,3",Q2
2015,CCZ04,"19,06596995","1,613141343","8,5",Q3
2015,CCZ04,"22,00522534","1,771405817",8,Q4
2015,CCZ04,"28,72632266","2,175626521","7,6",Q5
2016,CCZ04,"11,1391796","1,233645734","11,1",Q1
2016,CCZ04,"15,49981956","2,148776165","13,9",Q2
2016,CCZ04,"20,16119331","1,543824763","7,7",Q3
2016,CCZ04,"24,32334897","1,688921953","6,9",Q4
2016,CCZ04,"28,87645856","3,221513228","11,2",Q5
2017,CCZ04,"8,772370487","1,294688873","14,8",Q1
2017,CCZ04,"17,36263736","1,769395114","10,2",Q2
2017,CCZ04,"19,59183673","1,785749513","9,1",Q3
2017,CCZ04,"24,01255887","1,85597257","7,7",Q4
2017,CCZ04,"30,26059655","2,329394128","7,7",Q5
2018,CCZ04,"10,3491585","1,530728118","14,8",Q1
2018,CCZ04,"14,53152474","1,613541858","11,1",Q2
2018,CCZ04,"17,99171063","1,510575702","8,4",Q3
2018,CCZ04,"27,40517458","2,202626484",8,Q4
2018,CCZ04,"29,72243155","2,590589011","8,7",Q5
2019,CCZ04,"13,46056941","1,719609945","12,8",Q1
2019,CCZ04,"15,06046863","1,612296944","10,7",Q2
2019,CCZ04,"19,5074326","2,076060972","10,6",Q3
2019,CCZ04,"23,65205341","2,013300553","8,5",Q4
2019,CCZ04,"28,31947594","2,232029576","7,9",Q5
2022,CCZ04,"9,634581508","1,574793766","16,3",Q1
2022,CCZ04,"13,21197886","1,960169372","14,8",Q2
2022,CCZ04,"20,72812683","2,405566164","11,6",Q3
2022,CCZ04,"20,14996161","1,973796032","9,8",Q4
2022,CCZ04,"36,27535119","3,826987405","10,5",Q5
2009,CCZ05,"4,448542973","0,489118059",11,Q1
2009,CCZ05,"9,034796508","0,6539038235","7,2",Q2
2009,CCZ05,"16,22279602","0,8584382942","5,3",Q3
2009,CCZ05,"24,16328538","1,030462863","4,3",Q4
2009,CCZ05,"46,13057912","1,346883545","2,9",Q5
2010,CCZ05,"4,244560542","0,5331126321","12,6",Q1
2010,CCZ05,"9,899078911","0,8047955387","8,1",Q2
2010,CCZ05,"14,51711043","0,9091651942","6,3",Q3
2010,CCZ05,"24,53998028","1,00739253","4,1",Q4
2010,CCZ05,"46,79926984","1,512073688","3,2",Q5
2011,CCZ05,"5,486432248","0,5382134679","9,8",Q1
2011,CCZ05,"10,01483291","0,731831532","7,3",Q2
2011,CCZ05,"16,30049734","0,9510616519","5,8",Q3
2011,CCZ05,"23,41156967","0,8674618013","3,7",Q4
2011,CCZ05,"44,78666783","1,390490078","3,1",Q5
2012,CCZ05,"5,015169718","0,5289353726","10,5",Q1
2012,CCZ05,"11,64504897","0,837271573","7,2",Q2
2012,CCZ05,"16,78442711","0,792557174","4,7",Q3
2012,CCZ05,"22,46950785","0,9559037021","4,3",Q4
2012,CCZ05,"44,08584635","1,496146495","3,4",Q5
2013,CCZ05,"5,715178588","0,6033292652","10,6",Q1
2013,CCZ05,"10,63438666","0,7064412075","6,6",Q2
2013,CCZ05,"15,10873362","0,8400112442","5,6",Q3
2013,CCZ05,"20,35147705","0,8979764235","4,4",Q4
2013,CCZ05,"48,19022409","1,48696773","3,1",Q5
2014,CCZ05,"5,238355778","0,5041468952","9,6",Q1
2014,CCZ05,"10,72380381","0,7765180242","7,2",Q2
2014,CCZ05,"15,69035811","0,8185932058","5,2",Q3
2014,CCZ05,"22,22947811","0,9499345397","4,3",Q4
2014,CCZ05,"46,1180042","1,418071765","3,1",Q5
2015,CCZ05,"5,636413192","0,5307957759","9,4",Q1
2015,CCZ05,"10,25165804","0,730994387","7,1",Q2
2015,CCZ05,"15,22122286","0,8756403545","5,8",Q3
2015,CCZ05,"23,98655401","1,013187632","4,2",Q4
2015,CCZ05,"44,9041519","1,495115115","3,3",Q5
2016,CCZ05,"4,377161745","0,6583136371",15,Q1
2016,CCZ05,"8,498747679","0,9709057056","11,4",Q2
2016,CCZ05,"13,51825663","0,7560560124","5,6",Q3
2016,CCZ05,"21,5723024","0,9393730005","4,4",Q4
2016,CCZ05,"52,03353155","2,255126484","4,3",Q5
2017,CCZ05,"5,592585992","0,5502738642","9,8",Q1
2017,CCZ05,"11,61290323","0,7823693427","6,7",Q2
2017,CCZ05,"14,04562467","0,8476277623",6,Q3
2017,CCZ05,"21,91587952","0,9710069888","4,4",Q4
2017,CCZ05,"46,83300659","1,541116712","3,3",Q5
2018,CCZ05,"5,971270795","0,6117813246","10,2",Q1
2018,CCZ05,"10,08842444","0,7797261263","7,7",Q2
2018,CCZ05,"15,06885223","0,837798714","5,6",Q3
2018,CCZ05,"22,44163288","0,9487381995","4,2",Q4
2018,CCZ05,"46,42981966","1,591816361","3,4",Q5
2019,CCZ05,"6,379734553","0,692230687","10,9",Q1
2019,CCZ05,"10,38742766","0,7631977023","7,3",Q2
2019,CCZ05,"16,07755484","0,9598686351",6,Q3
2019,CCZ05,"21,95654434","0,8889469232",4,Q4
2019,CCZ05,"45,19873861","1,533439419","3,4",Q5
2022,CCZ05,"5,436776743","0,7373371349","13,6",Q1
2022,CCZ05,"10,30729608","1,093761031","10,6",Q2
2022,CCZ05,"14,97495061","1,201562659",8,Q3
2022,CCZ05,"22,83904883","1,427760281","6,3",Q4
2022,CCZ05,"46,44192774","2,244941956","4,8",Q5
2009,CCZ06,"17,29927358","1,431228014","8,3",Q1
2009,CCZ06,"22,10516188","1,364863438","6,2",Q2
2009,CCZ06,"22,25910425","1,537428932","6,9",Q3
2009,CCZ06,"23,11540867","1,567282444","6,8",Q4
2009,CCZ06,"15,22105162","1,270834444","8,3",Q5
2010,CCZ06,"17,99962275","1,754792248","9,7",Q1
2010,CCZ06,"20,73941337","1,416883759","6,8",Q2
2010,CCZ06,"22,29557672","1,440130975","6,5",Q3
2010,CCZ06,"23,88946525","1,637294869","6,9",Q4
2010,CCZ06,"15,07592191","1,48384815","9,8",Q5
2011,CCZ06,"18,87750747","1,716057367","9,1",Q1
2011,CCZ06,"23,38454972","1,445680745","6,2",Q2
2011,CCZ06,"21,67733675","1,458353489","6,7",Q3
2011,CCZ06,"20,55484422","1,525374804","7,4",Q4
2011,CCZ06,"15,50576184","1,423065825","9,2",Q5
2012,CCZ06,"20,66123028","1,797772376","8,7",Q1
2012,CCZ06,"20,16486439","1,522659109","7,6",Q2
2012,CCZ06,"22,81067187","1,499576381","6,6",Q3
2012,CCZ06,"21,31271051","1,557749228","7,3",Q4
2012,CCZ06,"15,05052296","1,542511291","10,2",Q5
2013,CCZ06,"21,24538828","1,666208715","7,8",Q1
2013,CCZ06,"20,5435076","1,547490753","7,5",Q2
2013,CCZ06,"20,34104202","1,628277142",8,Q3
2013,CCZ06,"23,49950508","1,320772026","5,6",Q4
2013,CCZ06,"14,37055701","1,585351109",11,Q5
2014,CCZ06,"16,93033226","1,52262671",9,Q1
2014,CCZ06,"23,21114684","1,43198798","6,2",Q2
2014,CCZ06,"22,87245445","1,377067705",6,Q3
2014,CCZ06,"21,47052519","1,503105199",7,Q4
2014,CCZ06,"15,51554126","1,420739821","9,2",Q5
2015,CCZ06,"16,84311039","1,439593811","8,5",Q1
2015,CCZ06,"20,90754349","1,424201465","6,8",Q2
2015,CCZ06,"21,5925603","1,520853011",7,Q3
2015,CCZ06,"25,82305808","1,595230595","6,2",Q4
2015,CCZ06,"14,83372774","1,38953561","9,4",Q5
2016,CCZ06,"17,88945991","1,949934388","10,9",Q1
2016,CCZ06,"21,55311032","1,302715554",6,Q2
2016,CCZ06,"21,25043352","1,375260607","6,5",Q3
2016,CCZ06,"23,13901063","1,993257238","8,6",Q4
2016,CCZ06,"16,16798562","1,60906769",10,Q5
2017,CCZ06,"18,671052","1,739110517","9,3",Q1
2017,CCZ06,"21,23075456","1,58199052","7,5",Q2
2017,CCZ06,"21,64068831","1,589491632","7,3",Q3
2017,CCZ06,"21,98388865","1,506902383","6,9",Q4
2017,CCZ06,"16,47361647","2,001608043","12,2",Q5
2018,CCZ06,"18,10170053","1,647728615","9,1",Q1
2018,CCZ06,"19,10712069","1,509004487","7,9",Q2
2018,CCZ06,"21,57308949","1,557926774","7,2",Q3
2018,CCZ06,"23,59220489","1,705118104","7,2",Q4
2018,CCZ06,"17,6258844","1,777573666","10,1",Q5
2019,CCZ06,"18,58290898","1,694218067","9,1",Q1
2019,CCZ06,"21,92472947","1,460097713","6,7",Q2
2019,CCZ06,"22,56922342","1,688318038","7,5",Q3
2019,CCZ06,"20,66359007","1,631224948","7,9",Q4
2019,CCZ06,"16,25954806","1,729406725","10,6",Q5
2022,CCZ06,"17,27152318","2,268351696","13,1",Q1
2022,CCZ06,"22,73730684","2,179340919","9,6",Q2
2022,CCZ06,"25,13024283","2,026891733","8,1",Q3
2022,CCZ06,"22,23399558","2,396815238","10,8",Q4
2022,CCZ06,"12,62693157","1,600880752","12,7",Q5
2009,CCZ07,"3,815832439","0,7458095135","19,5",Q1
2009,CCZ07,"7,650324206","0,9690138061","12,7",Q2
2009,CCZ07,"15,21201661","1,348184633","8,9",Q3
2009,CCZ07,"23,38946681","1,626117032",7,Q4
2009,CCZ07,"49,93235994","2,09399442","4,2",Q5
2010,CCZ07,"5,334636555","0,9250298527","17,3",Q1
2010,CCZ07,"9,403775914","1,460787408","15,5",Q2
2010,CCZ07,"15,95761099","1,526738305","9,6",Q3
2010,CCZ07,"25,90153814","2,015185159","7,8",Q4
2010,CCZ07,"43,4024384","2,507265102","5,8",Q5
2011,CCZ07,"5,450490219","0,8815520014","16,2",Q1
2011,CCZ07,"11,16119139","1,248565205","11,2",Q2
2011,CCZ07,"14,94354352","1,441657209","9,6",Q3
2011,CCZ07,"23,15877515","1,621244534",7,Q4
2011,CCZ07,"45,28599972","2,424385276","5,4",Q5
2012,CCZ07,"4,316510527","0,7151183647","16,6",Q1
2012,CCZ07,"12,41563413","1,337454164","10,8",Q2
2012,CCZ07,"15,115342","1,301123542","8,6",Q3
2012,CCZ07,"24,31751788","1,576598273","6,5",Q4
2012,CCZ07,"43,83499547","2,414057735","5,5",Q5
2013,CCZ07,"4,780993352","0,7769347954","16,3",Q1
2013,CCZ07,"9,342002346","1,222627963","13,1",Q2
2013,CCZ07,"15,7704341","1,291689044","8,2",Q3
2013,CCZ07,"22,96636684","1,575560562","6,9",Q4
2013,CCZ07,"47,14020336","2,115875788","4,5",Q5
2014,CCZ07,"7,248485987","1,146164355","15,8",Q1
2014,CCZ07,"9,530069011","1,072786213","11,3",Q2
2014,CCZ07,"15,5814281","1,557456916",10,Q3
2014,CCZ07,"24,07398714","1,541653224","6,4",Q4
2014,CCZ07,"43,56602976","2,282162516","5,2",Q5
2015,CCZ07,"5,957681186","0,9853046573","16,5",Q1
2015,CCZ07,"10,43741681","1,123061187","10,8",Q2
2015,CCZ07,"16,8540873","1,635837286","9,7",Q3
2015,CCZ07,"24,42741084","1,575809404","6,5",Q4
2015,CCZ07,"42,32340386","2,148249347","5,1",Q5
2016,CCZ07,"4,188240119","0,7625765684","18,2",Q1
2016,CCZ07,"9,652945097","1,582978484","16,4",Q2
2016,CCZ07,"15,10227098","2,649647094","17,5",Q3
2016,CCZ07,"25,7446045","1,618888841","6,3",Q4
2016,CCZ07,"45,3119393","4,731663933","10,4",Q5
2017,CCZ07,"5,465876141","0,8998276572","16,5",Q1
2017,CCZ07,"10,74566149","1,107817441","10,3",Q2
2017,CCZ07,"14,42420046","1,17880334","8,2",Q3
2017,CCZ07,"24,06197256","1,502904836","6,2",Q4
2017,CCZ07,"45,30228935","2,452913791","5,4",Q5
2018,CCZ07,"7,078704798","1,048771035","14,8",Q1
2018,CCZ07,"11,26211298","1,144941382","10,2",Q2
2018,CCZ07,"14,63798944","1,260952596","8,6",Q3
2018,CCZ07,"23,37114945","1,48114643","6,3",Q4
2018,CCZ07,"43,65004333","2,318401648","5,3",Q5
2019,CCZ07,"5,1494329","0,8443917609","16,4",Q1
2019,CCZ07,"10,60104313","1,287989331","12,1",Q2
2019,CCZ07,"13,98708502","1,425490316","10,2",Q3
2019,CCZ07,"25,22973756","1,623422658","6,4",Q4
2019,CCZ07,"45,03270138","2,229504407",5,Q5
2022,CCZ07,"7,152102209","1,411918788","19,7",Q1
2022,CCZ07,"11,6153814","2,053516368","17,7",Q2
2022,CCZ07,"16,14128846","1,965823737","12,2",Q3
2022,CCZ07,"24,03239948","2,263500546","9,4",Q4
2022,CCZ07,"41,05882844","3,284870596",8,Q5
